iter	Passed	Remaining
0	19	19607
1	41	20814
2	63	21071
3	85	21205
4	104	20723
5	123	20418
6	141	20042
7	154	19156
8	174	19239
9	185	18340
10	193	17441
11	212	17502
12	232	17681
13	251	17729
14	270	17773
15	289	17828
16	300	17351
17	311	17000
18	329	17036
19	342	16767
20	360	16799
21	379	16860
22	398	16914
23	407	16576
24	416	16247
25	433	16242
26	452	16299
27	470	16335
28	485	16247
29	499	16147
30	516	16160
31	530	16039
32	536	15726
33	543	15428
34	561	15473
35	578	15501
36	588	15305
37	602	15242
38	619	15265
39	631	15156
40	646	15114
41	663	15143
42	686	15276
43	702	15260
44	731	15531
45	752	15604
46	773	15693
47	797	15822
48	811	15747
49	835	15875
50	863	16071
51	885	16150
52	912	16296
53	931	16326
54	942	16194
55	949	16012
56	963	15935
57	984	15985
58	1002	15990
59	1014	15890
60	1022	15740
61	1039	15727
62	1059	15762
63	1077	15763
64	1096	15766
65	1115	15784
66	1134	15791
67	1160	15911
68	1179	15921
69	1198	15928
70	1216	15921
71	1235	15927
72	1255	15941
73	1268	15869
74	1278	15765
75	1284	15616
76	1294	15513
77	1313	15527
78	1332	15537
79	1351	15545
80	1359	15423
81	1378	15429
82	1397	15440
83	1404	15317
84	1413	15218
85	1432	15220
86	1443	15146
87	1462	15155
88	1482	15169
89	1489	15059
90	1507	15058
91	1526	15061
92	1544	15060
93	1562	15063
94	1575	15004
95	1592	14993
96	1610	14990
97	1628	14992
98	1635	14888
99	1652	14872
100	1670	14869
101	1695	14925
102	1716	14951
103	1735	14953
104	1745	14875
105	1762	14867
106	1779	14854
107	1789	14776
108	1806	14765
109	1825	14769
110	1832	14675
111	1836	14558
112	1853	14550
113	1872	14551
114	1890	14546
115	1907	14539
116	1926	14537
117	1933	14451
118	1951	14446
119	1969	14445
120	1981	14395
121	1999	14388
122	2017	14382
123	2035	14378
124	2053	14373
125	2060	14290
126	2068	14221
127	2082	14189
128	2100	14185
129	2118	14179
130	2137	14177
131	2155	14171
132	2174	14175
133	2192	14171
134	2207	14143
135	2224	14133
136	2243	14131
137	2260	14121
138	2278	14115
139	2297	14112
140	2301	14022
141	2316	13994
142	2333	13986
143	2351	13980
144	2370	13976
145	2387	13966
146	2405	13958
147	2423	13949
148	2440	13941
149	2458	13933
150	2477	13928
151	2496	13925
152	2505	13870
153	2519	13839
154	2536	13829
155	2546	13774
156	2555	13720
157	2573	13714
158	2591	13709
159	2598	13643
160	2616	13633
161	2633	13625
162	2652	13618
163	2670	13612
164	2688	13607
165	2707	13604
166	2726	13597
167	2744	13591
168	2753	13539
169	2771	13529
170	2789	13523
171	2807	13514
172	2814	13453
173	2831	13442
174	2844	13407
175	2855	13370
176	2862	13307
177	2880	13300
178	2889	13252
179	2906	13242
180	2925	13236
181	2936	13199
182	2954	13189
183	2968	13165
184	2986	13158
185	3004	13147
186	3022	13138
187	3032	13096
188	3038	13039
189	3047	12993
190	3058	12956
191	3076	12945
192	3085	12901
193	3102	12890
194	3120	12882
195	3138	12875
196	3156	12866
197	3174	12858
198	3191	12848
199	3210	12840
200	3217	12788
201	3238	12792
