iter	Passed	Remaining
0	17	3523
1	35	3488
2	54	3605
3	75	3716
4	95	3732
5	107	3471
6	126	3500
7	134	3234
8	154	3279
9	174	3317
10	195	3352
11	215	3373
12	235	3390
13	255	3395
14	275	3398
15	295	3400
16	316	3406
17	337	3415
18	358	3417
19	381	3429
20	412	3517
21	440	3563
22	458	3531
23	471	3454
24	497	3481
25	519	3477
26	534	3426
27	552	3394
28	573	3380
29	592	3355
30	611	3332
31	630	3311
32	638	3231
33	657	3211
34	677	3194
35	697	3178
36	718	3163
37	738	3148
38	755	3117
39	774	3098
40	794	3081
41	811	3050
42	831	3035
43	852	3021
44	872	3005
45	892	2989
46	909	2961
47	917	2905
48	937	2888
49	957	2871
50	977	2856
51	991	2821
52	1011	2805
53	1031	2789
54	1042	2747
55	1053	2707
56	1072	2691
57	1092	2674
58	1100	2630
59	1120	2614
60	1137	2591
61	1162	2586
62	1182	2571
63	1202	2555
64	1223	2541
65	1237	2512
66	1251	2483
67	1270	2466
68	1278	2427
69	1298	2411
70	1318	2396
71	1332	2369
72	1352	2353
73	1370	2333
74	1379	2298
75	1396	2278
76	1406	2247
77	1414	2212
78	1425	2183
79	1442	2163
80	1455	2138
81	1463	2105
82	1482	2090
83	1502	2075
84	1516	2052
85	1533	2032
86	1544	2006
87	1558	1982
88	1565	1952
89	1599	1955
90	1630	1952
91	1642	1927
92	1650	1898
93	1657	1869
94	1678	1854
95	1699	1841
96	1718	1824
97	1738	1808
98	1767	1803
99	1793	1793
100	1801	1765
101	1819	1748
102	1829	1723
103	1838	1697
104	1851	1674
105	1870	1658
106	1880	1634
107	1900	1618
108	1920	1603
109	1930	1579
110	1950	1563
111	1961	1541
112	1981	1525
113	2000	1509
114	2022	1494
115	2041	1478
116	2056	1458
117	2076	1442
118	2090	1422
119	2120	1413
120	2128	1389
121	2136	1366
122	2162	1353
123	2180	1336
124	2196	1317
125	2214	1300
126	2226	1279
127	2248	1264
128	2270	1249
129	2292	1234
130	2303	1213
131	2327	1198
132	2342	1179
133	2372	1168
134	2390	1150
135	2404	1131
136	2420	1113
137	2440	1096
138	2459	1079
139	2479	1062
140	2488	1041
141	2507	1024
142	2527	1007
143	2538	987
144	2554	969
145	2572	951
146	2583	931
147	2603	914
148	2617	895
149	2637	879
150	2653	861
151	2673	844
152	2695	828
153	2712	810
154	2723	790
155	2743	773
156	2751	753
157	2755	732
158	2766	713
159	2786	696
160	2807	679
161	2821	661
162	2838	644
163	2854	626
164	2868	608
165	2876	589
166	2884	569
167	2903	553
168	2924	536
169	2945	519
170	2964	502
171	2978	484
172	2999	468
173	3016	450
174	3033	433
175	3050	415
176	3071	399
177	3092	382
178	3113	365
179	3123	347
180	3144	330
181	3152	311
182	3171	294
183	3182	276
184	3202	259
185	3222	242
186	3234	224
187	3254	207
188	3274	190
189	3291	173
190	3301	155
191	3313	138
192	3320	120
193	3339	103
194	3361	86
195	3375	68
196	3386	51
197	3397	34
198	3407	17
199	3427	0
